cid,molecular_formula,molecular_weight,x_log_p,h_bond_donor_count,h_bond_acceptor_count,lipinski,query,cns_drug,smiles
134694392,C27H44O2,400.6,6.8,2,2,FALSE,Alfacalcidol,FALSE,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
135391135,C27H44O2,400.6,6.8,2,2,FALSE,Alfacalcidol,FALSE,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
145705666,C27H44O2,400.6,6.8,2,2,FALSE,Alfacalcidol,FALSE,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
163285106,C27H44O2,400.6,6.8,2,2,FALSE,Alfacalcidol,FALSE,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
51263,C21H32N6O3,416.5,2.2,0,6,TRUE,Alfentanil,TRUE,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O
2092,C19H27N5O4,389.4,1.7,2,8,TRUE,Alfuzosin,FALSE,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1
5493444,C30H53N3O6,551.8,3.5,4,7,FALSE,Aliskiren,FALSE,COCCCOC1=C(OC)C=CC(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)C(C)C)=C1
449171,C20H28O2,300.4,6.3,1,2,FALSE,Alitretinoin,FALSE,C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O
135413504,C16H21N5O2,315.37,1.6,2,5,TRUE,Alizapride,FALSE,COC1=CC2=NNN=C2C=C1C(=O)NCC1CCCN1CC=C
135401907,C5H4N4O,136.11,-0.7,2,3,TRUE,Allopurinol,FALSE,O=C1N=CN=C2NNC=C12
235905,C21H32O,300.5,5.3,1,1,FALSE,Allylestrenol,FALSE,[H][C@@]12CC[C@@](O)(CC=C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCCC=C3CC[C@@]21[H]
33887,C26H29F2N7,477.6,5.6,2,9,FALSE,Almitrine,FALSE,FC1=CC=C(C=C1)C(N1CCN(CC1)C1=NC(NCC=C)=NC(NCC=C)=N1)C1=CC=C(F)C=C1
123606,C17H25N3O2S,335.5,1.6,1,4,TRUE,Almotriptan,TRUE,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2
11450633,C18H21N5O2,339.4,0.6,1,5,TRUE,Alogliptin,FALSE,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O
2099,C17H18N4O,294.35,1.6,1,2,TRUE,Alosetron,FALSE,CN1C2=C(C3=CC=CC=C13)C(=O)N(CC1=C(C)NC=N1)CC2
5280934,C18H30O2,278.4,5.9,1,2,FALSE,Alpha-Linolenic Acid,FALSE,CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O
2118,C17H13ClN4,308.8,2.1,0,3,TRUE,Alprazolam,TRUE,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
2119,C15H23NO2,249.35,3.1,2,3,TRUE,Alprenolol,FALSE,CC(C)NCC(O)COC1=CC=CC=C1CC=C
5280723,C20H34O5,354.5,3.2,3,5,TRUE,Alprostadil,FALSE,CCCCC[C@H](O)C=C[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O
62816,C11H28ClN5O,281.83,NA,5,6,FALSE,Alseroxylon,FALSE,NA
62816,C11H28ClN5O,281.83,NA,5,6,FALSE,Colestipol,FALSE,ClCC1CO1.NCCNCCNCCNCCN
2123,C9H18N6,210.28,2.7,0,6,TRUE,Altretamine,FALSE,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
5359268,Al,26.981538,NA,0,0,FALSE,Aluminium,FALSE,[Al]
10176082,AlH3O3,78.004,NA,3,3,FALSE,Aluminum hydroxide,FALSE,[OH-].[OH-].[OH-].[Al+3]
3678,C20H27N,281.4,5.3,0,1,FALSE,Alverine,FALSE,CCN(CCCC1=CC=CC=C1)CCCC1=CC=CC=C1
5488548,C25H32N2O4,424.5,1.7,3,5,TRUE,Alvimopan,FALSE,C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1
2130,C10H17N,151.25,2.4,1,1,TRUE,Amantadine,TRUE,NC12CC3CC(CC(C3)C1)C2
2131,C28H42Cl2N4O2+2,537.6,5.1,2,2,FALSE,Ambenonium,TRUE,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl
443958,C28H35FO7,502.6,3.6,1,8,FALSE,Amcinonide,FALSE,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC1(CCCC1)O2)C(=O)COC(C)=O
36273,C15H23N3O3S,325.4,2.1,1,5,TRUE,Amdinocillin,FALSE,[H]C(=N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])N1CCCCCC1
2141,C5H15N2O3PS,214.23,-4.5,4,6,TRUE,Amifostine,FALSE,NCCCNCCSP(O)(O)=O
37768,C22H43N5O13,585.6,-7.9,13,17,FALSE,Amikacin,FALSE,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
16231,C6H8ClN7O,229.63,-0.7,4,5,TRUE,Amiloride,FALSE,NC(N)=NC(=O)C1=C(N)N=C(N)C(Cl)=N1
564,C6H13NO2,131.17,-3,2,3,TRUE,Aminocaproic Acid,FALSE,NCCCCCC(O)=O
2145,C13H16N2O2,232.28,1.2,2,3,TRUE,Aminoglutethimide,FALSE,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1
2148,C9H10N2O3,194.19,-0.9,3,4,TRUE,Aminohippurate,FALSE,NC1=CC=C(C=C1)C(=O)NCC(O)=O
137,C5H9NO3,131.13,-3.8,2,4,TRUE,Aminolevulinic acid,FALSE,NCC(=O)CCC(O)=O
6009,C13H17N3O,231.29,1,0,3,TRUE,Aminophenazone,FALSE,CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1
9433,C16H24N10O4,420.43,NA,4,8,FALSE,Aminophylline,FALSE,NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O
4649,C7H7NO3,153.14,1.3,3,4,TRUE,Aminosalicylic Acid,FALSE,NC1=CC(O)=C(C=C1)C(O)=O
2157,C25H29I2NO3,645.3,7.6,0,4,FALSE,Amiodarone,FALSE,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
2159,C17H27N3O4S,369.5,1.5,2,6,TRUE,Amisulpride,FALSE,CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC
2160,C20H23N,277.4,5,0,1,TRUE,Amitriptyline,TRUE,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
2161,C16H14N2O4,298.29,3.1,2,6,TRUE,Amlexanox,FALSE,CC(C)C1=CC2=C(OC3=NC(N)=C(C=C3C2=O)C(O)=O)C=C1
2162,C20H25ClN2O5,408.9,3,2,7,TRUE,Amlodipine,FALSE,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC
62358,C3H9NO3,107.11,NA,2,3,FALSE,Ammonium lactate,FALSE,[NH4+].CC(O)C([O-])=O
10129918,C3H9NO3,107.11,NA,3,4,FALSE,Ammonium lactate,FALSE,[NH4+].CC(O)C([O-])=O
2164,C11H18N2O3,226.27,2.1,2,3,TRUE,Amobarbital,FALSE,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
2165,C20H22ClN3O,355.9,2.6,2,4,TRUE,Amodiaquine,FALSE,CCN(CC)CC1=C(O)C=CC(NC2=C3C=CC(Cl)=CC3=NC=C2)=C1
2170,C17H16ClN3O,313.8,2.6,1,3,TRUE,Amoxapine,TRUE,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
33613,C16H19N3O5S,365.4,-2,4,7,TRUE,Amoxicillin,FALSE,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O
3007,C9H13N,135.21,1.8,1,1,TRUE,Amphetamine,TRUE,CC(N)CC1=CC=CC=C1
5280965,C47H73NO17,924.1,0,12,18,FALSE,Amphotericin B,FALSE,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2
91819969,C47H73NO17,924.1,0.6,11,17,FALSE,Amphotericin B,FALSE,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2
6249,C16H19N3O4S,349.4,-1.1,3,6,TRUE,Ampicillin,FALSE,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
65016,C25H35N3O6S,505.6,2.9,3,8,FALSE,Amprenavir,FALSE,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1
3698,C10H9N3O,187.2,-0.2,2,3,TRUE,Amrinone,FALSE,NC1=CC(=CNC1=O)C1=CC=NC=C1
2179,C21H19N3O3S,393.5,4,2,6,TRUE,Amsacrine,FALSE,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1
10026,C5H11NO2,117.15,1.8,0,3,TRUE,Amyl Nitrite,FALSE,CCCCCON=O
135409400,C10H7Cl2N3O,256.08,1.6,1,2,TRUE,Anagrelide,FALSE,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl
2187,C17H19N5,293.4,2.1,0,4,TRUE,Anastrozole,FALSE,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
166548,C58H73N7O17,1140.2,2.3,14,17,FALSE,Anidulafungin,FALSE,[H][C@@]12C[C@@H](O)CN1C(=O)[C@@]([H])(NC(=O)[C@H](C[C@@H](O)[C@@H](O)NC(=O)[C@]1([H])[C@@H](O)[C@@H](C)CN1C(=O)[C@@]([H])(NC(=O)[C@@]([H])(NC2=O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O)NC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(OCCCCC)C=C1)[C@@H](C)O
8944,C22H28N2O2,352.5,3.7,1,4,TRUE,Anileridine,FALSE,CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1
2197,C16H12O3,252.26,2.9,0,3,TRUE,Anisindione,FALSE,COC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O
657201,C17H32BrNO2,362.3,NA,0,3,FALSE,Anisotropine Methylbromide,FALSE,[Br-].CCCC(CCC)C(=O)O[C@H]1CC2CCC(C1)[N+]2(C)C
2200,C17H19N3,265.35,2.6,1,2,TRUE,Antazoline,FALSE,C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1
2206,C11H12N2O,188.23,0.4,0,2,TRUE,Antipyrine,FALSE,CN1N(C(=O)C=C1C)C1=CC=CC=C1
68723,C30H26F6N4O2,588.5,7.5,1,12,FALSE,Antrafenine,FALSE,FC(F)(F)C1=CC(=CC=C1)N1CCN(CCOC(=O)C2=CC=CC=C2NC2=C3C=CC(=CC3=NC=C2)C(F)(F)F)CC1
10182969,C25H25N5O4,459.5,2.2,1,5,TRUE,Apixaban,FALSE,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O
6005,C17H17NO2,267.32,2.3,2,3,TRUE,Apomorphine,TRUE,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23
2216,C9H10Cl2N4,245.11,1.3,3,2,TRUE,Apraclonidine,FALSE,NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1
135413536,C23H21F7N4O3,534.4,4.2,2,12,FALSE,Aprepitant,TRUE,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
2218,C22H30N2,322.5,5.2,0,2,FALSE,Aprindine,FALSE,CCN(CC)CCCN(C1CC2=CC=CC=C2C1)C1=CC=CC=C1
6464,C10H14N2O3,210.23,1.1,2,3,TRUE,Aprobarbital,FALSE,CC(C)C1(CC=C)C(=O)NC(=O)NC1=O
16130295,C284H432N84O79S7,6511,-25.4,93,97,FALSE,Aprotinin,FALSE,NA
22833874,C284H432N84O79S7,6511,-25.4,93,97,FALSE,Aprotinin,FALSE,NA
156024996,C284H432N84O79S7,6511,-25.4,93,97,FALSE,Aprotinin,FALSE,NA
53487898,C284H432N84O79S7,6511,-25.4,93,97,FALSE,Aprotinin,FALSE,NA
129627711,C284H432N84O79S7,6511,-25.4,93,97,FALSE,Aprotinin,FALSE,NA
146027575,C284H432N84O79S7,6511,-25.4,93,97,FALSE,Aprotinin,FALSE,NA
68682,C22H44N6O10,552.6,-6.8,11,15,FALSE,Arbekacin,FALSE,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
60789,C18H23NO4,317.4,0.9,5,5,TRUE,Arbutamine,FALSE,O[C@@H](CNCCCCC1=CC=C(O)C=C1)C1=CC(O)=C(O)C=C1
