name,smiles,formula,molecular_weight,log_p,fragneg,cas,dtxsid
Deisopropylatrazine,CCNC1=NC(=NC(=N1)N)Cl,C5H8ClN5,173.6,-0.591,"128.99735,12.6424941628897;130.01775,4.12718033237193;34.9694,91.5533580552122;41.01452,100;66.00977,12.1274550199148;67.03017,6.80538387584123;101.98645,14.8468616948221;111.06762,7.33415739596209;136.06287,10.7608844938882;144.00825,56.9289932701552",1007-28-9,DTXSID0037495
Methenamine,C1N2CN3CN1CN(C2)C3,C6H12N4,140.19,-0.186,"0,100;",100-97-0,DTXSID6020692
Triphenyl phosphite,C1=CC=C(C=C1)OP(OC2=CC=CC=C2)OC3=CC=CC=C3,C18H15O3P,310.3,3.45,"93.03459,100;63.02402,12.4129559828787;233.0373,52.9227624097617;257.0373,63.8855171532614",101-02-0,DTXSID0026252
Anilazine,C1=CC=C(C(=C1)NC2=NC(=NC(=N2)Cl)Cl)Cl,C9H5Cl3N4,275.5,1.528,"151.00685,100;34.9694,7.09554486888667;65.01452,10.0353869884765;176.0021,6.56020324834407",101-05-3,DTXSID9020089
Cloprop,CC(C(=O)O)OC1=CC(=CC=C1)Cl,C9H9ClO3,200.62,1.541,"126.99562,100;34.9694,20.6166666666667;65.00329,6.65333333333333",101-10-0,DTXSID9034232
Tribenuron-methyl,CC1=NC(=NC(=N1)OC)N(C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,C15H17N5O6S,395.4,-1.427,"209.98665,5.1595259799453;239.99722,3.3606806441811;121.05197,17.739288969918;137.04688,89.8328775448192;141.00157,17.7939835916135;153.07818,100;156.01247,32.0388939532057;184.00739,41.7866909753874;186.02304,40.7353388027955;211.01829,24.8617441507141;213.03394,46.9401397751443;214.01795,20.0182315405652;306.06663,7.81525372227286;336.0772,17.3260407171073;40.01927,7.25615314494075;56.01419,4.40595563658462;58.02984,3.56122759039806;65.01452,15.4725007596475;67.03017,15.1686417502279;77.03967,12.4582193862048;94.04107,3.78000607718019;96.05672,5.9860224855667;110.03599,9.07323002127013;114.98592,7.20753570343361;117.00157,3.21482831965968;121.0295,4.102096627165;124.05164,40.34032209055;126.06729,8.77544819203889;128.08294,7.14068672136129;151.06253,25.9920996657551;153.96044,4.98936493467031;155.97609,11.4676390154968;187.01829,3.37283500455788;225.98157,4.37556973564266;238.02919,3.76177453661501;253.04008,8.14342145244606;255.05573,3.33637192342753;279.05573,3.37283500455788;294.03025,5.17168034032209;296.0459,7.27438468550593;337.06121,12.8836219993923",101200-48-0,NA
Triclocarban,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,C13H9Cl3N2O,315.6,2.451,"159.97263,100;126.0116,56.98;185.95189,9.76;34.9694,2.62333333333333;50.00362,3.11;52.01927,2.64;76.01927,4.48333333333333;286.95512,5.01666666666667",101-20-2,DTXSID4026214
Chlorpropham,CC(C)OC(=O)NC1=CC(=CC=C1)Cl,C10H12ClNO2,213.66,2.026,"59.05024,25.9021688970928;151.99086,100;34.9694,42.0766035994462;57.03459,21.7997231195201;126.0116,20.6645131518228;41.99854,46.1467466543609",101-21-3,DTXSID7020764
"N-Phenyl-1,4-benzenediamine",C1=CC=C(C=C1)NC2=CC=C(C=C2)N,C12H12N2,184.24,1.191,"157.07712,0.53;153.04582,64.69;64.01927,19.1;92.05057,100;104.05057,27.87;105.04582,13.37;107.06147,14.86;116.05057,63.09;129.04582,21.2;130.06622,20.13;131.06147,25.04;155.06147,22.86;164.05057,14.8",101-54-2,DTXSID7025895
p-Bromodiphenyl ether,C1=CC=C(C=C1)OC2=CC=C(C=C2)Br,C12H9BrO,249.1,2.705,"220.96075,0.934652231482203;117.03459,100;63.02402,24.1451826466236;65.00329,33.6085364903809;67.01894,20.4143624892904;91.01894,30.4229301347457;170.9451,14.0431497780201",101-55-3,DTXSID8023927
"4,4-Methylenebis(N,N-dimethylaniline)",CN(C)C1=CC=C(C=C1)CC2=CC=C(C=C2)N(C)C,C17H22N2,254.37,2.976,"120.08187,15.41;134.09752,26.09;42.03492,12.06;44.05057,12.28;54.03492,13.56;104.05057,53.67;118.06622,100;158.09752,74.59;184.11317,11.05;194.09752,21.88;210.12882,11.07;225.13972,11.45;227.15537,22.78;251.15537,16.64",101-61-1,DTXSID5020869
"4,4-Methylenedianiline",C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,C13H14N2,198.26,0.924,"92.05057,49.14;104.05057,51.9;118.06622,23.56;128.05057,30.29;130.06622,100;180.08187,20.62",101-77-9,DTXSID6022422
"4,4-Oxydianiline",C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,C12H12N2O,200.24,0.757,"92.05057,1.19304624474492;132.04549,100;65.00329,56.8117259402341;91.01894,21.4350641972503;106.02984,55.8800136348142;108.04549,24.3779116009544",101-80-4,DTXSID0021094
2-Benzylideneoctanal,CCCCCCC(=CC1=CC=CC=C1)C=O,C15H20O,216.32,4.889,"187.14922,79.6294662549625;91.05532,100;183.11792,4.25231583590648;185.13357,4.50816056462285;197.13357,3.62593736215262;55.01894,7.24305249228055;65.00329,13.8685487428319;65.03967,22.8936921041023;67.01894,14.0626378473754;67.05532,8.2223202470225;69.03459,9.56329951477724;77.03967,20.4058226731363;93.07097,10.9483899426555;101.03967,8.76047640052933;103.05532,40.0441111601235;105.07097,9.58094397882664;115.05532,28.1252756947508;117.07097,25.4344949272166;119.08662,7.26069695632995;127.05532,6.80194089104543;129.07097,36.4887516541685;131.05024,6.51962946625496;131.08662,15.9947066607852;141.07097,17.8914865460962;143.08662,38.5884428760476;145.10227,9.84561093956771;157.10227,23.7053374503749;159.11792,8.53109836788708;171.11792,6.98720776356418",101-86-0,DTXSID4026684
"1,3-Diphenylguanidine",C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,C13H13N3,211.26,1.295,"92.05057,100;117.04582,72.88;193.07712,7.115;194.07237,5.305",102-06-7,DTXSID3025178
"2,2-Dibromo-3-nitrilopropionamide",C(#N)C(C(=O)N)(Br)Br,C3H2Br2N2O,241.87,0.209,"41.99854,100;195.8403,0.259820600061862",10222-01-2,DTXSID5032361
N-Ethyl-3-methylaniline,CCNC1=CC=CC(=C1)C,C9H13N,135.21,1.813,"106.06622,100;40.01927,39.2526299262051;42.03492,18.9550949913644;91.05532,12.1879415920867",102-27-2,DTXSID4021848
Heptachlor epoxide,C12C(C(C3C1O3)Cl)C4(C(=C(C2(C4(Cl)Cl)Cl)Cl)Cl)Cl,C10H5Cl7O,389.3,3.032,"348.83205,2.2782874617737;34.9694,100",1024-57-3,DTXSID1024126
"N,N,N,N-Tetrakis(2-Hydroxypropyl)ethylenediamine",CC(CN(CCN(CC(C)O)CC(C)O)CC(C)O)O,C14H32N2O4,292.41,-1.08,"114.09244,11.71;273.21837,95.54;43.01894,45.53;45.03459,24.19;57.03459,38.08;59.05024,11.64;215.1765,31.21;229.19215,10.66;233.18707,18.43;275.19763,10.02;84.04549,24.01;86.06114,43.92;88.07679,23.1;102.09244,11.06;128.10809,19.16;130.08735,30.99;132.103,11.39;144.103,12.01;158.11865,100;160.1343,16.27;173.12955,20.34;213.16085,19.81",102-60-3,DTXSID9026689
Methamidophos,COP(=O)(N)SC,C2H8NO2PS,141.13,-0.545,"61.98012,100;91.99069,50.604370060437;77.97504,38.7416705408337;46.99609,38.7416705408337;107.96784,19.8318611498528",10265-92-6,DTXSID6024177
Triethanolamine,C(CO)N(CCO)CCO,C6H15NO3,149.19,-2.064,"98.06114,62.4297109977769;100.07679,100;112.07679,33.4641035700275;130.08735,77.8475219040147;116.0717,9.67699751536551;128.0717,12.4820190924546;43.01894,65.3851183470642;74.06114,6.12658558911992;88.07679,10.6512357787368",102-71-6,DTXSID9021392
Triethanolamine,C(CO)N(CCO)CCO,C6H15NO3,149.19,-2.064,"98.06114,62.4297109977769;100.07679,100;112.07679,33.4641035700275;130.08735,77.8475219040147;116.0717,9.67699751536551;128.0717,12.4820190924546;43.01894,65.3851183470642;74.06114,6.12658558911992;88.07679,10.6512357787368",102-71-6,DTXSID7044928
Triacetin,CC(=O)OCC(COC(=O)C)OC(=O)C,C9H14O6,218.2,0.34,"59.01385,100;97.0295,5.78333333333333;131.03498,8.09333333333333;133.05063,14.4633333333333;175.0612,9.96666666666667;115.04007,12.0133333333333;41.00329,4.63333333333333",102-76-1,DTXSID3026691
Tributylamine,CCCCN(CCCC)CCCC,C12H27N,185.35,4.113,"182.19142,37.72;140.14447,11;68.05057,19.77;70.06622,77.73;72.08187,100;86.09752,14.98;100.11317,43.77;124.11317,22.42;126.12882,59.53;128.14447,32.76",102-82-9,DTXSID4026183
Di(2-ethylhexyl) adipate,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,C22H42O4,370.6,7.356,"239.16527,53.48;73.0295,7.64;93.07097,6.72;95.08662,17.75;97.10227,43.18;99.11792,39.26;107.08662,9.68;109.10227,14.93;111.11792,17.02;123.08154,5.2;127.04007,55.24;127.11284,14.29;129.05572,61.78;129.12849,39.11;241.18092,11.4;255.16018,7.16;257.17583,60.05;271.19148,6.05;339.25408,16.49;341.26973,23.3;351.29047,5.09;57.07097,11.03;71.08662,21.42;131.07137,40.44;133.08702,19.37;143.03498,59.58;145.05063,100;147.06628,96.28;149.08193,77.56",103-23-1,DTXSID0020606
Bis(2-ethylhexyl) nonanedioate,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,C25H48O4,412.6,9.063,"281.21222,54.5556321047192;299.22278,90.552876334826;67.05532,6.38132965897348;93.07097,12.61625904237;95.08662,18.6100585601102;97.10227,100;99.11792,66.6207371684464;107.08662,13.7874612469859;109.10227,21.245263520496;111.11792,32.5353083017568;127.11284,26.8343093351705;129.12849,83.715122287289;169.08702,51.4467791939373;171.13905,6.02824664140544;255.23295,9.61935928349983;283.22787,31.984154323114;297.20713,14.5797450912849;381.30103,7.63864967275232;383.31668,35.6958318980365;41.00329,11.884257664485;55.01894,11.3158801240096;57.03459,14.054426455391;57.07097,14.7692042714433;69.07097,11.445056837754;71.08662,31.5018945918016;99.08154,22.6662073716845;101.09719,43.7995177402687;113.09719,17.3871856699966;125.09719,13.968308646228;141.0921,18.9114708921805;143.10775,11.1264209438512;171.10267,58.9906992766104;173.11832,48.4326558732346;185.08193,37.0048225973131;187.09758,86.1178091629349;189.11323,56.4674474681364;243.16018,14.3988976920427;255.16018,11.2211505339304;257.17583,15.9576300378918;271.19148,32.1994488460214",103-24-2,DTXSID3026697
Azobenzene,C1=CC=C(C=C1)N=NC2=CC=CC=C2,C12H10N2,182.22,2.8,"77.03967,100;105.04582,21.929768657192;153.04582,58.8936332929705;155.06147,63.7308010961698",103-33-3,DTXSID8020123
Flumioxazin,C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,C19H15FN2O4,354.3,0.908,"325.09939,51.2;18.99895,28.07;295.05244,20.09;311.04736,38.22;311.08374,54.01;325.06301,50.37;333.08808,39.35;335.08374,26.28;0.99073,0.90866;41.00329,100;41.99854,32.11;84.04549,16.84;107.05024,33.98;178.03098,18.23;186.05605,16.19;240.06662,14.77;245.03679,20.9;247.05244,24.91;256.04154,25.78;269.03679,14.15;293.05678,16.79;295.08883,41.2;297.03171,17.71;307.05244,41.28;307.07243,14.29;309.06809,37.1;309.08808,43.46;317.05678,21.7;327.07866,20.42;337.06301,48.89;351.07866,55.49",103361-09-7,DTXSID7032555
Octyl gallate,CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,C15H22O5,282.33,4.643,"169.01425,72.8816199376947;44.9982,3.24506749740395;111.00877,15.9034267912773;123.00877,22.7933541017653;125.02442,100;151.00368,25.8618899273105;153.01933,11.7393561786085;166.9986,14.6469366562825;175.0612,5.59190031152648;263.12888,8.98234683281412;41.00329,15.9761163032191;43.01894,4.52751817237799;53.00329,5.20768431983385;55.01894,5.50363447559709;56.9982,2.6116303219107;59.05024,13.3073727933541;65.00329,3.15680166147456;67.01894,6.29802699896158;71.01385,2.79335410176532;73.06589,8.62928348909657;83.01385,2.67393561786085;87.08154,4.10176531671859;96.99312,5.61786085150571;97.0295,3.42159916926272;99.04515,4.24714434060228;101.09719,3.36448598130841;107.01385,8.92004153686397;109.0295,4.13811007268951;111.04515,2.55970924195223;127.04007,2.668743509865;129.12849,2.75700934579439;137.02442,6.06438213914849;171.0299,3.90446521287643",1034-01-1,DTXSID4040713
Propylbenzene,CCCC1=CC=CC=C1,C9H12,120.19,3.507,"91.05532,92.68;77.03967,100",103-65-1,DTXSID3042219
N-Ethyl aniline,CCNC1=CC=CC=C1,C8H11N,121.18,1.421,"92.05057,100;40.01927,11.2380696330152",103-69-5,NA
Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,C8H9NO2,151.16,0.314,"108.04549,100;41.00329,30.8510638297872;118.02984,17.1550151975684;122.06114,13.0820668693009;40.01927,12.2857142857143;54.03492,6.89969604863222;58.02984,17.258358662614;64.01927,11.7142857142857;65.99854,6.54103343465045;76.01927,14.9057750759878;78.03492,25.4711246200608;80.05057,18.5045592705167;82.02984,11.0516717325228;106.02984,9.87841945288754;120.04549,10.1155015197568;134.02475,7.75683890577508",103-90-2,DTXSID2020006
Imazapic,CC1=CC(=C(N=C1)C2=NC(C(=O)N2)(C)C(C)C)C(=O)O,C14H17N3O3,275.3,0.399,"230.12989,19.5327995298612;41.99854,34.0777198266363;92.05057,78.873135972967;117.04582,15.5586571659443;121.04074,4.20921178285462;137.07204,15.3676632630574;187.12407,3.54807904209212;202.13497,4.55446999191949;214.09859,100;228.11424,5.17887313597297;69.00944,7.65444795416146;84.08187,5.28906192610005;95.02509,6.42033350473812;145.04074,9.37339308014398;160.05164,36.810401821788;162.06729,6.93454785866451;163.0513,9.05017262910453;164.08294,5.31109968412547;186.06729,6.273415117902;212.08294,11.7093954308382",104098-48-8,DTXSID5034270
Mesotrione,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],C14H13NO7S,339.32,-0.818,"76.97027,30.76;109.0295,11.14;213.05572,31.95;258.0408,7.58;259.04862,9.16;270.00778,9.1;291.03327,8.85;296.02343,13.34;310.03908,49.53;337.02617,26.02;41.00329,25.02;45.99345,83.07;111.04515,61.93;113.0608,100;126.98592,40.94;129.00157,37.8;131.01722,99.98;161.02442,59.9;163.04007,51.68;165.05572,20.53;225.0227,20.74",104206-82-8,DTXSID7032424
Butylbenzene,CCCCC1=CC=CC=C1,C10H14,134.22,4.076,"77.03967,65.6408331769563;91.05532,100;65.03967,15.6783636704823",104-51-8,DTXSID6022472
Resmethrin,CC(=CC1C(C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C,C22H26O3,338.4,4.775,"77.03967,10.69;147.08154,2.655;149.09719,6.485;165.0921,2.885;187.07645,18.98;91.05532,49.565;107.08662,9.48;121.10227,32.255;123.11792,44.575;157.06589,100;55.01894,3.84;65.03967,5.155;67.05532,4.305;95.01385,5.085;103.05532,4.455;105.03459,3.285;107.05024,7.18;109.0295,3.02;109.06589,8.455;115.05532,15.6;127.05532,6.035;129.07097,3.285;139.05532,5.625;143.05024,7.71;155.05024,6.32;189.0921,3.52;191.10775,3.29;193.08702,5.535;205.08702,3.15;205.1234,3.26;229.08702,4.81;295.13397,4.745;297.14962,3.91;311.16527,3.5;321.14962,9.265",10453-86-8,DTXSID7022253
5-Heptyldihydro-2(3H)-furanone,CCCCCCCC1CCC(=O)O1,C11H20O2,184.27,3.882,"165.12849,4.89549990585577;41.00329,83.2893993598192;43.01894,29.0623234795707;53.00329,3.47392204857842;57.03459,55.9405008472981;59.01385,42.3272453398607;83.01385,3.14441724722275;95.08662,3.13500282432687;97.10227,6.17586141969497;99.11792,2.62662398794954;111.11792,24.694031255884;155.14414,23.4889851252118;181.1234,100;44.9982,26.5675014121634;55.01894,54.2835624176238;65.03967,18.4522688759179;67.01894,30.3897571078893;67.05532,25.2683110525325;69.03459,33.1387685934852;73.0295,17.1436640933911;79.01894,19.280738090755;81.03459,30.0225946149501;83.05024,35.9819243080399;93.03459,46.5166635285257;97.0295,50.2447749952928;99.04515,18.3016381095839;107.05024,33.3929580116739;109.06589,15.3643381660704;113.13357,23.7149312747129;121.06589,17.7744304274148;123.08154,24.2233101110902;125.0608,18.2263227264169;127.07645,26.6993033327057;127.11284,20.579928450386;139.07645,15.8256448879684;167.10775,14.8747881754848",104-67-6,DTXSID4034287
2-Ethyl-1-hexanol,CCCCC(CC)CO,C8H18O,130.23,2.855,"99.11792,4.68272404939479;57.07097,78.0596649957208;81.07097,60.881525858907;97.10227,40.4572686147451;109.10227,37.9386233035824;111.11792,100;127.11284,57.9899743244896;43.01894,15.3074948037657;53.03967,32.0393691160289;55.01894,28.7687981415821;55.05532,20.6810123486979;59.05024,29.8324978603741;67.05532,40.3655703631251;71.08662,58.3567673309696;85.10227,20.0085585034845;95.08662,24.513999266414;99.08154,40.1882870766597;101.09719,15.6865142437951;111.08154,15.6865142437951;113.09719,17.0803276684191",104-76-7,DTXSID5020605
3-isopropoxy-5-methoxy-N-(1H-tetrazol-5-yl)benzo[b]thiophene-2-carboxamide,CC(C)OC1=C(SC2=C1C=C(C=C2)OC)C(=O)NC3=NNN=N3,C14H15N5O3S,333.37,2.032,"221.06417,46.9651741293532;41.99854,82.9519071310116;69.02067,100;84.03157,24.0630182421227;110.01083,88.2006633499171;112.02648,10.9618573797678;205.03287,34.2620232172471;219.04852,21.5422885572139;233.02779,12.0232172470978;247.04344,6.98175787728027;249.05909,12.3963515754561;262.04042,6.86567164179105;262.05434,25.787728026534;298.09456,7.21393034825871;41.01452,9.35323383084577;82.01592,13.407960199005;122.99101,11.8739635157546;127.99241,7.2636815920398;139.02231,4.61857379767828;153.9829,10.273631840796;155.99855,13.2504145936982;179.01722,18.7562189054726;189.03796,5.59701492537314;203.01722,8.54063018242123;258.00912,4.75124378109453;258.06326,5.03316749585406;330.06663,19.8424543946932",104795-66-6,DTXSID8047268
Tamoxifen,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,C26H29NO,371.5,6.342,"299.14414,100;117.07097,8.06819803110287;119.08662,3.17448994150378;271.11284,24.6254815237552;281.13357,9.54487088029676;283.14922,11.8062491082893;297.12849,35.1191325438722;325.15979,3.60251105721216;340.17069,4.4514196033671;342.18634,4.65116279069767;344.20199,9.07404765301755;354.18634,2.32558139534884;93.03459,2.92481095734056;115.05532,3.90212583820802;181.06589,5.55000713368526;183.08154,6.0493651020117;207.11792,3.12455414467114;219.08154,12.7550292481096;221.09719,13.5968041090027;233.09719,2.86060778998431;235.11284,4.27307747182194;273.12849,7.16222000285347;279.11792,3.05321729205308;283.11284,8.34641175631331;295.11284,9.45926665715509;309.12849,5.17905550007134;311.14414,8.20373805107719;313.15979,4.72249964331574;327.17544,4.42288486231987",10540-29-1,DTXSID1034187
Clodinafop-propargyl,CC(C(=O)OCC#C)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)Cl)F,C17H13ClFNO4,349.7,2.472,"238.00766,92.74;34.9694,100;55.01894,16.77;145.98144,20.025;244.06153,15.53;246.03273,6.255;264.02331,5.77;266.03896,8.335;274.02764,8.91;292.01822,16.275;294.03387,10.64;346.02879,15.635;107.01385,14.64;109.0295,3.765;129.98653,5.65;134.02475,3.73;135.04515,3.315;169.98144,4.705;195.99709,7.29;207.99709,5.19;209.97636,2.77;210.01274,3.155;211.99201,3.54;233.97636,3.005;262.00766,8.87",105512-06-9,DTXSID6032354
Ethyl butyrate,CCCC(=O)OCC,C6H12O2,116.16,1.486,"45.03459,71.2257339964704;69.03459,100;87.04515,47.6656505695492;43.01894,28.6579496229745;44.9982,15.5141986202471;59.01385,10.7813252045564;85.0295,6.51772822076047;41.00329,31.7704155302423;51.02402,15.6706240975453;67.01894,32.3640301620407",105-54-4,DTXSID6040111
Caprolactam,C1CCC(=O)NCC1,C6H11NO,113.16,0.404,"41.99854,100;58.02984,35.1879812773668;40.01927,5.22421863203986;41.00329,13.6494035935377;42.03492,13.2794805979164;44.01419,3.43499924505511;53.00329,2.83859278272686;53.03967,2.92918616940963;54.03492,4.30318586743168;57.03459,3.37460365393326;66.03492,3.82002113845689;68.05057,3.2387135739091;110.06114,22.0896874528159",105-60-2,DTXSID4020240
5HPP-33,CC(C)C1=C(C(=CC=C1)C(C)C)N2C(=O)C3=C(C2=O)C=C(C=C3)O,C20H21NO3,323.4,2.877,"320.12922,20.23;292.1343,53.47;294.14995,40.86;41.99854,60.76;93.03459,86.19;95.05024,15.58;119.01385,14.79;121.0295,49.83;123.04515,27.12;162.01967,42.01;174.12882,80.86;176.03532,22.82;186.09244,20.75;198.09244,19.21;200.10809,74.27;202.12374,25.24;262.05097,60.57;264.06662,60.03;278.08227,19.42;278.11865,100;280.1343,14.86;290.08227,29.75;304.09792,15.28;306.11357,39.31",105624-86-0,DTXSID1046970
"2,4-Dimethylphenol",CC1=CC(=C(C=C1)O)C,C8H10O,122.16,1.519,"65.03967,100;53.00329,19.3000371333086;55.01894,18.6223542517638;67.05532,79.7437801708132;49.00837,39.0549572966951;51.02402,15.4474563683624;63.02402,22.9948013367991",105-67-9,DTXSID2021864
Geranyl acetate,CC(=CCCC(=CCOC(=O)C)C)C,C12H20O2,196.29,3.264,"59.01385,100;121.10227,3.02333333333333;41.00329,7.01333333333333",105-87-3,DTXSID0020654
Dibutyl hexanedioate,CCCCOC(=O)CCCCC(=O)OCCCC,C14H26O4,258.35,3.348,"183.10267,64.4573322286661;57.03459,4.28058547362607;59.01385,59.84534658934;69.03459,3.64540182270091;71.01385,3.68222406333425;73.0295,28.0677529227654;83.05024,42.5849212924606;85.0295,27.4049525913652;99.04515,37.0523796373009;111.04515,5.82711958022646;113.0608,18.595231519838;115.07645,58.639418208598;127.04007,91.8162570192396;129.05572,100;143.10775,6.28739758814324;157.1234,3.94918530792599;185.11832,28.7029365736905;199.09758,24.0173064530977;201.11323,32.0813771517997;203.12888,5.30240265120133;239.16527,5.30240265120133;41.00329,38.1202246156679;44.9982,12.8693731013532;73.06589,42.676976894044;97.06589,11.9119948448863;101.0608,21.2096106048053;127.07645,15.1431464604621;129.0921,23.0967504372641;131.07137,37.494246524901;133.08702,30.0193316763325;143.03498,31.5382491024579;145.05063,25.2140292736813;147.06628,35.1560342446838;149.08193,19.994476663905;155.07137,10.3838718586026;171.06628,34.9074841204087;173.08193,12.7773174997699",105-99-7,DTXSID2021866
Carbendazim,COC(=O)NC1=NC2=CC=CC=C2N1,C9H9N3O2,191.19,1.107,"158.03599,100;41.99854,9.11333333333333",10605-21-7,DTXSID4024729
Citronellol,CC(CCC=C(C)C)CCO,C10H20O,156.26,3.286,"137.13357,100;109.10227,38.4786606019549;123.11792,96.7773153972709;125.13357,61.9955482434917;41.00329,8.24542727184748;43.01894,27.5912126197619;65.03967,96.7773153972709;67.01894,13.3262363302042;67.05532,17.0134520468402;69.07097,8.54543694957902;81.07097,29.0331946191813;93.07097,7.25829865479532;95.08662,10.2196845059518;97.10227,7.08409948708023;107.08662,10.6938933513984;111.11792,10.1325849220943;121.10227,12.5423400754863;139.11284,9.716442465886",106-22-9,DTXSID3026726
Geraniol,CC(=CCCC(=CCO)C)C,C10H18O,154.25,2.524,"135.11792,68.44;107.08662,51.63;121.10227,84.62;123.11792,100;43.01894,40.01;51.02402,15.42;63.02402,91.13;65.00329,23.68;65.03967,100;67.01894,29.75;67.05532,39.79;69.03459,20.77;69.07097,14.44;79.05532,79.79;81.07097,22.6;93.07097,14.6;95.08662,56.13;105.07097,18;109.10227,27.16;111.11792,22.28;119.08662,20.69",106-24-1,DTXSID8026727
